Date,Close,Volume,Open,High,Low
02-01-2015,46.76,27843560,46.66,47.42,46.54
05-01-2015,46.325,39667400,46.37,46.73,46.25
06-01-2015,45.65,36434980,46.38,46.749,45.54
07-01-2015,46.23,29103920,45.98,46.46,45.49
08-01-2015,47.59,29634030,46.75,47.7499,46.72
09-01-2015,47.19,23942750,47.61,47.82,46.9
12-01-2015,46.6,23623970,47.42,47.54,46.36
13-01-2015,46.355,35258300,46.97,47.91,46.06
14-01-2015,45.955,29713190,45.96,46.24,45.62
15-01-2015,45.48,32744260,46.22,46.38,45.41
16-01-2015,46.24,35683380,45.31,46.28,45.17
20-01-2015,46.39,36121800,46.3,46.65,45.57
21-01-2015,45.92,37113740,45.94,46.14,45.48
22-01-2015,47.13,35842790,46.38,47.135,46.08
23-01-2015,47.18,26136690,47.36,47.39,46.8
26-01-2015,47.01,40995700,47,47.1339,46.2399
27-01-2015,42.66,169115000,42.95,43.2,42.105
28-01-2015,41.19,84453280,42.74,42.79,41.16
29-01-2015,42.01,63551980,40.93,42.12,40.79
30-01-2015,40.4,77983360,41.55,41.58,40.35
02-02-2015,41.28,50274250,40.59,41.37,40.23
03-02-2015,41.6,52068450,41.63,41.93,41.045
04-02-2015,41.84,41585310,41.94,42.21,41.36
05-02-2015,42.45,36543020,42.22,42.64,41.855
06-02-2015,42.41,34612420,42.68,42.79,42.15
09-02-2015,42.36,27416280,42.24,42.74,42.21
10-02-2015,42.6,29655280,42.74,42.77,42.18
11-02-2015,42.38,38248500,42.65,42.65,42.21
12-02-2015,43.09,33238000,42.66,43.09,42.51
13-02-2015,43.87,40112080,43.38,43.87,43.15
17-02-2015,43.58,33692870,43.97,44,43.19
18-02-2015,43.53,27105640,43.63,43.7,43.39
19-02-2015,43.5,27598050,43.18,43.5263,43.05
20-02-2015,43.855,29710140,43.51,43.88,43.29
23-02-2015,44.15,32510550,43.7,44.19,43.65
24-02-2015,44.09,25262080,44.15,44.3,43.92
25-02-2015,43.99,29749090,43.95,44.09,43.8
26-02-2015,44.055,26524300,43.99,44.23,43.89
27-02-2015,43.85,33784370,44.13,44.2,43.66
02-03-2015,43.88,31766030,43.67,44.19,43.55
03-03-2015,43.28,31685600,43.56,43.825,43.09
04-03-2015,43.055,25746840,43.01,43.21,42.88
05-03-2015,43.11,23176110,43.07,43.24,42.82
06-03-2015,42.36,36120570,43,43.11,42.15
09-03-2015,42.85,32106530,42.19,43.125,42.19
10-03-2015,42.03,39158290,42.35,42.71,42.03
11-03-2015,41.98,32214780,42.31,42.37,41.84
12-03-2015,41.02,59984700,41.33,41.65,40.86
13-03-2015,41.38,57972120,40.7,41.47,40.61
16-03-2015,41.56,35257510,41.47,41.64,41.28
17-03-2015,41.695,31669340,41.37,41.83,41.15
18-03-2015,42.5,44178520,41.43,42.83,41.33
19-03-2015,42.285,33836100,42.26,42.59,42.22
20-03-2015,42.88,71754700,42.56,42.98,42.49
23-03-2015,42.855,26233420,42.88,43.13,42.78
24-03-2015,42.9,25453110,42.78,43.17,42.75
25-03-2015,41.46,43427180,42.92,42.925,41.44
26-03-2015,41.21,37483900,41.22,41.61,40.92
27-03-2015,40.97,33980410,41.12,41.43,40.83
30-03-2015,40.96,34999850,41.1,41.54,40.91
31-03-2015,40.655,34884740,40.78,41.03,40.54
01-04-2015,40.72,36841010,40.6,40.76,40.31
02-04-2015,40.29,37483000,40.66,40.74,40.12
06-04-2015,41.545,39161760,40.34,41.78,40.18
07-04-2015,41.53,28808840,41.61,41.91,41.31
08-04-2015,41.42,24699710,41.46,41.69,41.04
09-04-2015,41.48,25722630,41.25,41.62,41.25
10-04-2015,41.72,27856770,41.63,41.95,41.41
13-04-2015,41.76,30270750,41.4,42.06,41.39
14-04-2015,41.65,24238760,41.8,42.03,41.39
15-04-2015,42.255,27307270,41.76,42.46,41.68
16-04-2015,42.16,22425300,41.95,42.34,41.82
17-04-2015,41.615,41912450,41.67,41.74,41.16
20-04-2015,42.905,46051240,41.73,43.17,41.68
21-04-2015,42.635,26004920,43,43.15,42.53
22-04-2015,42.985,25032050,42.67,43.13,42.55
23-04-2015,43.34,45445510,42.89,43.61,42.8
24-04-2015,47.87,130885200,45.66,48.14,45.65
27-04-2015,48.03,58950840,47.23,48.13,47.22
